index,document_id,overall,nid,nid_s,teds,teds_s,mhs,mhs_s
1,'01030000000001,0.9842463473724055,0.9916575988393181,0.9916575988393181,,,0.9768350959054929,1.0
2,'01030000000002,0.9860710198971983,0.9867403314917127,0.9867403314917127,,,0.9854017083026838,1.0
3,'01030000000003,0.9667363830253843,0.9746212121212122,0.9746212121212122,,,0.9588515539295566,1.0
4,'01030000000004,0.9899460840286229,0.9874188311688311,0.9874188311688311,,,0.9924733368884149,1.0
5,'01030000000005,0.8860103626943006,0.8860103626943006,0.8860103626943006,,,,
6,'01030000000006,0.9281767955801105,0.9281767955801105,0.9281767955801105,,,,
7,'01030000000007,0.8140429087317715,0.9766401590457257,0.9766401590457257,,,0.6514456584178174,0.6666666666666667
8,'01030000000008,0.8001564333202973,0.8001564333202973,0.8001564333202973,,,,
9,'01030000000009,0.7727784026996626,0.7727784026996626,0.7727784026996626,,,,
10,'01030000000010,0.9358631747728487,0.9358631747728487,0.9358631747728487,,,,
11,'01030000000011,0.9768694550063372,0.9768694550063372,0.9768694550063372,,,,
12,'01030000000012,0.9418680600914435,0.9418680600914435,0.9418680600914435,,,,
13,'01030000000013,0.7069504469279833,0.7746824158680633,0.7746824158680633,,,0.6392184779879033,1.0
14,'01030000000014,0.9546956111373289,0.9546956111373289,0.9546956111373289,,,,
15,'01030000000015,0.9321824907521578,0.9321824907521578,0.9321824907521578,,,,
16,'01030000000016,0.9966717869943676,0.996031746031746,0.996031746031746,,,0.9973118279569892,1.0
17,'01030000000017,0.9810538780343399,0.9810538780343399,0.9810538780343399,,,,
18,'01030000000018,0.8297247830996596,0.7788344306266766,0.7788344306266766,,,0.8806151355726426,1.0
19,'01030000000019,0.9939560061466608,0.9983801295896328,0.9983801295896328,,,0.9895318827036889,1.0
20,'01030000000020,0.9955223880597015,0.9955223880597015,0.9955223880597015,,,,
21,'01030000000021,0.998391806053829,0.9973753280839895,0.9973753280839895,,,0.9994082840236687,1.0
22,'01030000000022,0.9958949096880132,0.9958949096880132,0.9958949096880132,,,,
23,'01030000000023,0.9984282907662082,0.9984282907662082,0.9984282907662082,,,,
24,'01030000000024,0.9975440032746623,0.9975440032746623,0.9975440032746623,,,,
25,'01030000000025,0.9990791896869244,0.9990791896869244,0.9990791896869244,,,,
