index,document_id,overall,nid,nid_s,teds,teds_s,mhs,mhs_s
1,'01030000000001,0.9869756807229672,0.9931159420289855,0.9931159420289855,,,0.9808354194169489,1.0
2,'01030000000002,0.9854954834665128,0.9889665318131666,0.9889665318131666,,,0.9820244351198592,1.0
3,'01030000000003,0.9691062462162727,0.9765684051398337,0.9765684051398337,,,0.9616440872927118,1.0
4,'01030000000004,0.9918199870666105,0.9890732496964791,0.9890732496964791,,,0.9945667244367418,1.0
5,'01030000000005,0.8408551068883611,0.8408551068883611,0.8408551068883611,,,,
6,'01030000000006,0.9177718832891246,0.9177718832891246,0.9177718832891246,,,,
7,'01030000000007,0.8377425285988815,0.9722563221212865,0.9722563221212865,,,0.7032287350764764,0.8571428571428572
8,'01030000000008,0.8100739971439698,0.8100739971439698,0.8100739971439698,,,,
9,'01030000000009,0.7379349046015713,0.7379349046015713,0.7379349046015713,,,,
10,'01030000000010,0.949044585987261,0.949044585987261,0.949044585987261,,,,
11,'01030000000011,0.9877049180327869,0.9877049180327869,0.9877049180327869,,,,
12,'01030000000012,0.953599306157849,0.953599306157849,0.953599306157849,,,,
13,'01030000000013,0.7072849602237918,0.7733629300776914,0.7733629300776914,,,0.6412069903698923,1.0
14,'01030000000014,0.9688679245283018,0.9688679245283018,0.9688679245283018,,,,
15,'01030000000015,0.9352459016393443,0.9352459016393443,0.9352459016393443,,,,
16,'01030000000016,0.9115294468244128,0.8887770508303976,0.8887770508303976,,,0.9342818428184282,1.0
17,'01030000000017,0.9816676522767593,0.9816676522767593,0.9816676522767593,,,,
18,'01030000000018,0.9821632942857749,0.9778733866011063,0.9778733866011063,,,0.9864532019704434,1.0
19,'01030000000019,1.0,1.0,1.0,,,1.0,1.0
20,'01030000000020,1.0,1.0,1.0,,,,
21,'01030000000021,0.8615502196823056,0.9994162288382954,0.9994162288382954,,,0.7236842105263158,0.75
22,'01030000000022,0.9987694831829369,0.9987694831829369,0.9987694831829369,,,,
23,'01030000000023,0.9996072270227807,0.9996072270227807,0.9996072270227807,,,,
24,'01030000000024,0.9987730061349693,0.9987730061349693,0.9987730061349693,,,,
25,'01030000000025,0.9995395948434623,0.9995395948434623,0.9995395948434623,,,,
26,'01030000000026,1.0,1.0,1.0,,,,
27,'01030000000027,0.62877030162413,0.62877030162413,0.62877030162413,,,,
28,'01030000000028,0.9904066128645268,0.9892401920211885,0.9892401920211885,,,0.9915730337078652,1.0
29,'01030000000029,0.9784444337040281,0.9730804527378403,0.9730804527378403,,,0.983808414670216,1.0
30,'01030000000030,0.9749444973041548,0.9749444973041548,0.9749444973041548,,,,
31,'01030000000031,0.9427328715020746,0.9406528189910979,0.9406528189910979,,,0.9448129240130514,1.0
32,'01030000000032,0.9841636782475012,0.9777317452097359,0.9777317452097359,,,0.9905956112852664,1.0
33,'01030000000033,0.9233290815677881,0.9602567267341398,0.9602567267341398,,,0.8864014364014364,1.0
34,'01030000000034,0.9297872340425531,0.9297872340425531,0.9297872340425531,,,,
35,'01030000000035,0.9451947681234771,0.9320121112028626,0.9320121112028626,,,0.9583774250440917,1.0
36,'01030000000036,0.8329665383244407,0.7951684246342293,0.7951684246342293,,,0.870764652014652,1.0
37,'01030000000037,0.822136738936739,0.7378285714285715,0.7378285714285715,,,0.9064449064449065,1.0
38,'01030000000038,0.9676320171654584,0.9673726388093875,0.9673726388093875,,,0.9678913955215295,1.0
39,'01030000000039,0.35214521452145214,0.7042904290429043,0.7042904290429043,,,0.0,0.0
40,'01030000000040,0.981543957134352,0.981543957134352,0.981543957134352,,,,
41,'01030000000041,0.9792000000000001,0.9792000000000001,0.9792000000000001,,,,
42,'01030000000042,0.9980339588918677,0.9980339588918677,0.9980339588918677,,,,
43,'01030000000043,0.8160127253446448,0.8160127253446448,0.8160127253446448,,,,
44,'01030000000044,0.9810411677500285,0.9778481012658227,0.9778481012658227,,,0.9842342342342343,1.0
45,'01030000000045,0.9727184934814099,0.9454369869628197,0.9966101694915256,1.0,1.0,,
46,'01030000000046,0.8231570238502797,0.7658792650918635,0.7164887307236062,0.8804347826086957,0.8804347826086957,,
47,'01030000000047,0.7003909158600149,0.6507818317200298,0.256,0.75,0.75,,
48,'01030000000048,1.0,1.0,1.0,,,1.0,1.0
49,'01030000000049,0.9991474850809889,0.9991474850809889,0.9991474850809889,,,,
50,'01030000000050,0.9945121951219512,0.9945121951219512,0.9945121951219512,,,,
51,'01030000000051,0.9758724642568325,0.9595473833097595,1.0,1.0,1.0,0.968070009460738,1.0
52,'01030000000052,0.9728397891359157,0.9456795782718314,0.9817024661893395,1.0,1.0,,
53,'01030000000053,0.9791800282933051,0.9626143790849673,1.0,1.0,1.0,0.974925705794948,1.0
54,'01030000000054,1.0,1.0,1.0,,,1.0,1.0
55,'01030000000055,0.9562573099415205,0.9562573099415205,0.9562573099415205,,,,
56,'01030000000056,0.9042084168336673,0.9042084168336673,0.9042084168336673,,,,
57,'01030000000057,0.931390406800243,0.931390406800243,0.931390406800243,,,,
58,'01030000000058,0.9499167961560926,0.9405560882070949,0.9405560882070949,,,0.9592775041050903,1.0
59,'01030000000059,0.7574426549536359,0.7574426549536359,0.7574426549536359,,,,
60,'01030000000060,0.8763666947014298,0.8763666947014298,0.8763666947014298,,,,
61,'01030000000061,0.9710806697108068,0.9710806697108068,0.9710806697108068,,,,
62,'01030000000062,0.8136080922447744,0.9990911844895486,0.9990911844895486,,,0.628125,0.75
63,'01030000000063,0.9842312746386334,0.9842312746386334,0.9842312746386334,,,,
64,'01030000000064,0.9764432647644327,0.9528865295288653,0.9814356435643564,1.0,1.0,,
65,'01030000000065,1.0,1.0,1.0,,,1.0,1.0
66,'01030000000066,0.9717323024885238,0.9717323024885238,0.9717323024885238,,,,
67,'01030000000067,0.9878462511044477,0.9861188228761799,0.9861188228761799,,,0.9895736793327155,1.0
68,'01030000000068,0.9929990539262064,0.9929990539262064,0.9929990539262064,,,,
69,'01030000000069,0.747529193277288,0.996113486202876,0.996113486202876,,,0.4989449003516999,0.6
70,'01030000000070,0.843937575030012,0.843937575030012,0.843937575030012,,,,
71,'01030000000071,0.805528888527302,0.9895781637717121,0.9895781637717121,,,0.6214796132828919,0.6666666666666667
72,'01030000000072,0.7414141414141414,0.7414141414141414,0.7414141414141414,,,,
73,'01030000000073,0.8443248093315386,0.8443248093315386,0.8443248093315386,,,,
74,'01030000000074,0.9591202486253885,0.9591202486253885,0.9591202486253885,,,,
75,'01030000000075,0.9819204499799116,0.9819204499799116,0.9819204499799116,,,,
76,'01030000000076,0.8813559322033897,0.8813559322033897,0.8813559322033897,,,,
77,'01030000000077,0.979208452722063,0.9875835721107927,0.9875835721107927,,,0.9708333333333333,1.0
78,'01030000000078,0.763194135161939,0.7863616745791973,0.9328023892483823,0.7400265957446808,0.7446808510638299,,
79,'01030000000079,0.8686383684748145,0.9878603945371777,0.9878603945371777,,,0.7494163424124514,0.75
80,'01030000000080,0.7747914227092073,0.9872068230277187,0.9872068230277187,,,0.562376022390696,0.6
81,'01030000000081,0.9741641337386018,0.9483282674772036,1.0,1.0,1.0,,
82,'01030000000082,0.9619678995115143,0.9239357990230286,0.9959839357429717,1.0,1.0,,
83,'01030000000083,0.9588615461098682,0.9177230922197365,0.9969040247678018,1.0,1.0,,
84,'01030000000084,0.9590629436819688,0.9181258873639375,1.0,1.0,1.0,,
85,'01030000000085,0.8267177301838042,0.9141716566866268,0.9141716566866268,,,0.7392638036809815,0.75
86,'01030000000086,0.9999110478562534,0.9998220957125067,0.9998220957125067,,,1.0,1.0
87,'01030000000087,1.0,1.0,1.0,,,,
88,'01030000000088,0.9567645105954301,0.9528301886792453,0.9921259842519686,0.9606988325116148,1.0,,
89,'01030000000089,0.9763096056114184,0.9621295279912183,1.0,0.9904896832316187,1.0,,
90,'01030000000090,0.9557241832871848,0.9434666666666667,0.8888888888888888,0.9679816999077028,1.0,,
91,'01030000000091,0.9985134368132474,0.9987445947830939,0.9987445947830939,,,0.998282278843401,1.0
92,'01030000000092,0.9994456853706248,0.9993919494101909,0.9993919494101909,,,0.9994994213310587,1.0
