index,document_id,overall,nid,nid_s,teds,teds_s,mhs,mhs_s
1,'01030000000001,0.9854353863483858,0.993108451215089,0.993108451215089,,,0.9777623214816825,1.0
2,'01030000000002,0.9872040165237743,0.9878542510121457,0.9878542510121457,,,0.9865537820354028,1.0
3,'01030000000003,0.9676694389716877,0.9753881105641803,0.9753881105641803,,,0.959950767379195,1.0
4,'01030000000004,0.9900294881623055,0.9876342996148388,0.9876342996148388,,,0.9924246767097721,1.0
5,'01030000000005,0.8304347826086956,0.8304347826086956,0.8304347826086956,,,,
6,'01030000000006,0.915,0.915,0.915,,,,
7,'01030000000007,0.9056684636431818,0.9848927875243665,0.9848927875243665,,,0.826444139761997,0.8333333333333334
8,'01030000000008,0.8032191069574247,0.8032191069574247,0.8032191069574247,,,,
9,'01030000000009,0.7293986636971046,0.7293986636971046,0.7293986636971046,,,,
10,'01030000000010,0.9367357788410419,0.9367357788410419,0.9367357788410419,,,,
11,'01030000000011,0.9255520504731861,0.9255520504731861,0.9255520504731861,,,,
12,'01030000000012,0.9788793103448277,0.9788793103448277,0.9788793103448277,,,,
13,'01030000000013,0.891072901604153,0.9524019391802557,0.9524019391802557,,,0.8297438640280501,1.0
14,'01030000000014,0.9559099437148216,0.9559099437148216,0.9559099437148216,,,,
15,'01030000000015,0.9259560618388935,0.9259560618388935,0.9259560618388935,,,,
16,'01030000000016,0.9247265268606732,0.9100899100899101,0.9100899100899101,,,0.9393631436314364,1.0
17,'01030000000017,0.9749631811487481,0.9749631811487481,0.9749631811487481,,,,
18,'01030000000018,0.6640992077121315,0.5356622998544396,0.5356622998544396,,,0.7925361155698234,1.0
19,'01030000000019,0.9990943253079175,0.9989212513484358,0.9989212513484358,,,0.9992673992673993,1.0
20,'01030000000020,0.9992537313432835,0.9992537313432835,0.9992537313432835,,,,
21,'01030000000021,0.8667687763383569,0.9985392930178206,0.9985392930178206,,,0.7349982596588931,0.75
22,'01030000000022,0.9979474548440066,0.9979474548440066,0.9979474548440066,,,,
23,'01030000000023,0.999607072691552,0.999607072691552,0.999607072691552,,,,
24,'01030000000024,0.9985664550481261,0.9985664550481261,0.9985664550481261,,,,
25,'01030000000025,0.9993089149965446,0.9993089149965446,0.9993089149965446,,,,
26,'01030000000026,0.9986040018613308,0.9986040018613308,0.9986040018613308,,,,
27,'01030000000027,0.6275346851654215,0.6275346851654215,0.6275346851654215,,,,
28,'01030000000028,0.9894224746445729,0.9882702792003965,0.9882702792003965,,,0.9905746700887493,1.0
29,'01030000000029,0.916877875175016,0.9652745907908826,0.9652745907908826,,,0.8684811595591493,1.0
30,'01030000000030,0.9581027667984191,0.9581027667984191,0.9581027667984191,,,,
31,'01030000000031,0.952919289021575,0.948377581120944,0.948377581120944,,,0.9574609969222061,1.0
32,'01030000000032,0.9825189876763069,0.9753566796368353,0.9753566796368353,,,0.9896812957157785,1.0
33,'01030000000033,0.9754291422910413,0.9662145499383478,0.9662145499383478,,,0.9846437346437347,1.0
34,'01030000000034,0.9339371337240278,0.9339371337240278,0.9339371337240278,,,,
35,'01030000000035,0.8139041514041514,0.9401098901098901,0.9401098901098901,,,0.6876984126984127,0.75
36,'01030000000036,0.6820446799051572,0.8614107883817428,0.8783554196398233,,,0.5026785714285714,0.6
37,'01030000000037,0.8236762902908086,0.7516413855558071,0.7516413855558071,,,0.8957111950258101,1.0
38,'01030000000038,0.8798536576510261,0.8729079497907949,0.8784530386740331,,,0.8867993655112572,1.0
39,'01030000000039,0.9398095642931839,0.9506840598154629,0.9530516431924884,,,0.9289350687709047,1.0
40,'01030000000040,0.9842271293375394,0.9842271293375394,0.9842271293375394,,,,
41,'01030000000041,0.7912301125339541,0.7912301125339541,0.8200446337999594,,,,
42,'01030000000042,0.8890078515346181,0.8890078515346181,0.8890078515346181,,,,
43,'01030000000043,0.821689259645464,0.821689259645464,0.821689259645464,,,,
44,'01030000000044,0.8867959486166008,0.8551136363636364,0.8551136363636364,,,0.9184782608695652,1.0
45,'01030000000045,0.8951921771017248,0.8984924623115578,0.862876254180602,0.8918918918918919,0.8918918918918919,,
46,'01030000000046,0.596987957857523,0.6588588588588589,0.8202764976958525,0.5351170568561873,0.5652173913043479,,
47,'01030000000047,0.7213721146385699,0.7572043723087115,0.5,0.6855398569684283,0.7244897959183674,,
48,'01030000000048,0.982808625022294,0.9983100971694128,0.9983100971694128,,,0.9673071528751753,1.0
49,'01030000000049,0.9991474850809889,0.9991474850809889,0.9991474850809889,,,,
50,'01030000000050,0.9945121951219512,0.9945121951219512,0.9945121951219512,,,,
51,'01030000000051,0.9740986247100359,0.9567918667043209,0.9948453608247422,1.0,1.0,0.9655040074257868,1.0
52,'01030000000052,0.9783505154639176,0.9567010309278351,0.9984101748807632,1.0,1.0,,
53,'01030000000053,0.9785971796271798,0.9616087751371115,0.998389694041868,1.0,1.0,0.9741827637444279,1.0
54,'01030000000054,0.9992262908679163,0.999295278365046,0.999295278365046,,,0.9991573033707866,1.0
55,'01030000000055,0.9542056074766356,0.9542056074766356,0.9542056074766356,,,,
56,'01030000000056,0.9014308426073131,0.9014308426073131,0.9014308426073131,,,,
57,'01030000000057,0.9291101055806937,0.9291101055806937,0.9291101055806937,,,,
58,'01030000000058,0.9474564805874235,0.9349786426198387,0.9349786426198387,,,0.9599343185550082,1.0
59,'01030000000059,0.7526265520534863,0.7526265520534863,0.7526265520534863,,,,
